company,description_blob,ref_id
山口運輸有限会社,"【社内SE】山口運輸有限会社
仕事内容：社内SEとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：年収502万〜687万円（年俸制）　雇用形態：正社員",110-1
合同会社山口水産,"【データサイエンティスト】合同会社山口水産
職務内容：データサイエンティストとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
求める経験・スキル：SQL実務経験、Python実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：年収527万〜765万円（年俸制）　雇用形態：正社員",125-3
株式会社鈴木運輸,"【データエンジニア】株式会社鈴木運輸
仕事内容：データエンジニアとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：上流工程（要件定義）経験、SQL実務経験
給与：月給61万円（賞与なし）　雇用形態：正社員",46-1
株式会社阿部情報,"【SRE】株式会社阿部情報
職務内容：SREとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
尚可条件：チームでの開発経験、AWSまたはGCP実務経験
給与：月給64万〜76万円+賞与年2回（予定年収764万〜915万円）　雇用形態：正社員",40-4
株式会社長谷川ガス,"【プリセールス】株式会社長谷川ガス
仕事内容：プリセールスとしてご活躍いただきます。
必須要件：実務経験3年以上
求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：年収516万〜696万円（年俸制）　雇用形態：正社員",97-1
有限会社鈴木通信,"【ネットワークエンジニア】有限会社鈴木通信
仕事内容：ネットワークエンジニアとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：Python実務経験、チームでの開発経験
給与：月給40万〜54万円+賞与年2回（予定年収478万〜654万円）　雇用形態：正社員",68-2
中島電気合同会社,"【ヘルプデスク】中島電気合同会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：チームでの開発経験、Python実務経験、上流工程（要件定義）経験
給与：月給62万円（賞与なし）　雇用形態：正社員",24-0
鈴木保険株式会社,"【QAエンジニア】鈴木保険株式会社
仕事内容：QAエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験、チームでの開発経験
給与：月給43万〜62万円+賞与年2回（予定年収512万〜747万円）　雇用形態：正社員",118-1
株式会社林印刷,"【AIエンジニア】株式会社林印刷
職務内容：AIエンジニアとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、SQL実務経験
給与：年収738万〜979万円（年俸制）　雇用形態：正社員",104-0
木村農林株式会社,"【社内SE】木村農林株式会社
仕事内容：社内SEとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験
給与：月給43万円（賞与なし）　雇用形態：正社員",86-1
合同会社山本運輸,"【ネットワークエンジニア】合同会社山本運輸
職務内容：ネットワークエンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
尚可条件：上流工程（要件定義）経験、チームでの開発経験
給与：月給30万円（賞与なし）　雇用形態：正社員",34-2
合同会社斉藤保険,"【データサイエンティスト】合同会社斉藤保険
職務内容：データサイエンティストとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
歓迎要件：SQL実務経験
給与：月給28万〜46万円+賞与年2回（予定年収338万〜549万円）　雇用形態：正社員",30-0
山崎電気合同会社,"【AIエンジニア】山崎電気合同会社
仕事内容：AIエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：SQL実務経験、Python実務経験
給与：月給32万円（賞与なし）　雇用形態：正社員",101-1
合同会社吉田水産,"【社内SE】合同会社吉田水産
職務内容：社内SEとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：SQL実務経験、上流工程（要件定義）経験、Python実務経験
給与：月給62万〜71万円+賞与年2回（予定年収747万〜855万円）　雇用形態：正社員",2-1
合同会社鈴木運輸,"【ITアーキテクト】合同会社鈴木運輸
仕事内容：ITアーキテクトとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：月給60万円（賞与なし）　雇用形態：正社員",12-0
渡辺電気有限会社,"【機械学習エンジニア】渡辺電気有限会社
職務内容：機械学習エンジニアとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験／実務経験3年以上
歓迎要件：Python実務経験、SQL実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：月給65万〜81万円+賞与年2回（予定年収778万〜974万円）　雇用形態：正社員",148-3
有限会社松本通信,"【テクニカルサポート】有限会社松本通信
仕事内容：テクニカルサポートとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：AWSまたはGCP実務経験、チームでの開発経験、Python実務経験
給与：月給43万円（賞与なし）　雇用形態：正社員",41-4
伊藤農林有限会社,"【QAエンジニア】伊藤農林有限会社
仕事内容：QAエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：上流工程（要件定義）経験
給与：月給44万円（賞与なし）　雇用形態：正社員",57-0
中島電気合同会社,"【ヘルプデスク】中島電気合同会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：チームでの開発経験、上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給62万円（賞与なし）　雇用形態：正社員",24-2
高橋鉱業有限会社,"【バックエンドエンジニア】高橋鉱業有限会社
仕事内容：バックエンドエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上／実務経験3年以上
歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：月給29万円（賞与なし）　雇用形態：正社員",56-0
有限会社清水通信,"【業務系SE】有限会社清水通信
職務内容：業務系SEとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
歓迎要件：上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験
給与：年収529万〜655万円（年俸制）　雇用形態：正社員",74-2
合同会社中村水産,"【フロントエンドエンジニア】合同会社中村水産
仕事内容：フロントエンドエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
歓迎要件：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験
給与：年収485万〜599万円（年俸制）　雇用形態：正社員",36-3
鈴木水産株式会社,"【Webエンジニア】鈴木水産株式会社
仕事内容：Webエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験
給与：月給30万円（賞与なし）　雇用形態：正社員",26-1
有限会社山本電気,"【Corporate SRE】有限会社山本電気
職務内容：Corporate SREとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
尚可条件：Python実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：月給62万〜81万円+賞与年2回（予定年収744万〜970万円）　雇用形態：正社員",114-0
高橋食品株式会社,"【QAエンジニア】高橋食品株式会社
職務内容：QAエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：Python実務経験
給与：月給29万〜39万円+賞与年2回（予定年収352万〜472万円）　雇用形態：正社員",63-0
村上水産株式会社,"【ソリューションアーキテクト】村上水産株式会社
仕事内容：ソリューションアーキテクトとしてご活躍いただきます。
必須要件：実務経験3年以上
求める経験・スキル：SQL実務経験、上流工程（要件定義）経験
給与：月給42万〜62万円+賞与年2回（予定年収507万〜748万円）　雇用形態：正社員",83-1
株式会社西村建設,"【クラウドエンジニア】株式会社西村建設
仕事内容：クラウドエンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
尚可条件：Python実務経験
給与：月給29万円（賞与なし）　雇用形態：正社員",58-4
株式会社田中情報,"【Webエンジニア】株式会社田中情報
職務内容：Webエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：SQL実務経験、チームでの開発経験
給与：年収754万〜857万円（年俸制）　雇用形態：正社員",55-1
合同会社石川水産,"【インフラエンジニア】合同会社石川水産
職務内容：インフラエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：月給60万円（賞与なし）　雇用形態：正社員",64-3
合同会社吉田水産,"【社内SE】合同会社吉田水産
職務内容：社内SEとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
尚可条件：Python実務経験
給与：月給62万円（賞与なし）　雇用形態：正社員",2-2
村上水産株式会社,"【ソリューションアーキテクト】村上水産株式会社
仕事内容：ソリューションアーキテクトとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験、SQL実務経験
給与：月給42万円（賞与なし）　雇用形態：正社員",83-0
合同会社中村水産,"【フロントエンドエンジニア】合同会社中村水産
職務内容：フロントエンドエンジニアとしてご活躍いただきます。
必須要件：実務経験3年以上
歓迎要件：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験、SQL実務経験
給与：月給40万〜50万円+賞与年2回（予定年収485万〜599万円）　雇用形態：正社員",36-0
合同会社木村電気,"【セキュリティエンジニア】合同会社木村電気
職務内容：セキュリティエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
歓迎要件：AWSまたはGCP実務経験
給与：月給41万〜62万円+賞与年2回（予定年収496万〜743万円）　雇用形態：正社員",113-1
有限会社佐藤情報,"【QAエンジニア】有限会社佐藤情報
職務内容：QAエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：Python実務経験、SQL実務経験
給与：月給30万〜43万円+賞与年2回（予定年収357万〜519万円）　雇用形態：正社員",149-1
株式会社伊藤銀行,"【SRE】株式会社伊藤銀行
職務内容：SREとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験、Python実務経験
給与：年収721万〜921万円（年俸制）　雇用形態：正社員",135-3
斎藤保険合同会社,"【テクニカルサポート】斎藤保険合同会社
仕事内容：テクニカルサポートとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：上流工程（要件定義）経験、SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験
給与：月給30万〜44万円+賞与年2回（予定年収363万〜530万円）　雇用形態：正社員",77-1
合同会社高橋鉱業,"【テクニカルサポート】合同会社高橋鉱業
職務内容：テクニカルサポートとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
歓迎要件：上流工程（要件定義）経験
給与：月給29万円（賞与なし）　雇用形態：正社員",152-2
株式会社小林鉱業,"【業務系SE】株式会社小林鉱業
職務内容：業務系SEとしてご活躍いただきます。
必須要件：実務経験3年以上
尚可条件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験
給与：月給42万円（賞与なし）　雇用形態：正社員",35-1
合同会社山崎情報,"【ITアーキテクト】合同会社山崎情報
仕事内容：ITアーキテクトとしてご活躍いただきます。
応募資格：実務経験1年以上／SQL・データ抽出経験3年以上
尚可条件：SQL実務経験、Python実務経験、上流工程（要件定義）経験
給与：月給29万円（賞与なし）　雇用形態：正社員",17-4
株式会社林運輸,"【テクニカルサポート】株式会社林運輸
職務内容：テクニカルサポートとしてご活躍いただきます。
応募資格：実務経験3年以上
歓迎要件：SQL実務経験、チームでの開発経験、Python実務経験
給与：年収483万〜663万円（年俸制）　雇用形態：正社員",67-1
佐藤通信有限会社,"【セキュリティエンジニア】佐藤通信有限会社
職務内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
尚可条件：上流工程（要件定義）経験
給与：月給61万〜82万円+賞与年2回（予定年収735万〜983万円）　雇用形態：正社員",65-2
山田保険株式会社,"【品質管理】山田保険株式会社
職務内容：品質管理としてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：Python実務経験
給与：月給64万〜84万円+賞与年2回（予定年収771万〜1006万円）　雇用形態：正社員",73-0
吉田銀行合同会社,"【QAエンジニア】吉田銀行合同会社
仕事内容：QAエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：AWSまたはGCP実務経験
給与：年収348万〜588万円（年俸制）　雇用形態：正社員",neg-5-0
森通信株式会社,"【アプリケーションエンジニア】森通信株式会社
職務内容：アプリケーションエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
歓迎要件：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験
給与：月給40万〜57万円+賞与年2回（予定年収476万〜686万円）　雇用形態：正社員",153-3
吉田ガス株式会社,"【ITアーキテクト】吉田ガス株式会社
仕事内容：ITアーキテクトとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：チームでの開発経験、Python実務経験、SQL実務経験
給与：月給65万円（賞与なし）　雇用形態：正社員",32-1
株式会社鈴木水産,"【ヘルプデスク】株式会社鈴木水産
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：チームでの開発経験、上流工程（要件定義）経験
給与：月給30万〜41万円+賞与年2回（予定年収354万〜487万円）　雇用形態：正社員",47-0
合同会社渡辺食品,"【テストエンジニア】合同会社渡辺食品
職務内容：テストエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：月給29万円（賞与なし）　雇用形態：正社員",133-1
青木鉱業有限会社,"【ヘルプデスク】青木鉱業有限会社
職務内容：ヘルプデスクとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎／SQL・データ抽出経験3年以上
尚可条件：Python実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給28万〜42万円+賞与年2回（予定年収332万〜507万円）　雇用形態：正社員",60-3
合同会社橋本ガス,"【品質管理】合同会社橋本ガス
仕事内容：品質管理としてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験
給与：月給31万〜45万円+賞与年2回（予定年収373万〜543万円）　雇用形態：正社員",122-0
有限会社吉田運輸,"【品質管理】有限会社吉田運輸
職務内容：品質管理としてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：月給42万〜59万円+賞与年2回（予定年収498万〜711万円）　雇用形態：正社員",108-2
合同会社吉田銀行,"【データエンジニア】合同会社吉田銀行
職務内容：データエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
求める経験・スキル：上流工程（要件定義）経験、Python実務経験
給与：月給40万〜54万円+賞与年2回（予定年収483万〜646万円）　雇用形態：正社員",85-3
株式会社林運輸,"【テクニカルサポート】株式会社林運輸
仕事内容：テクニカルサポートとしてご活躍いただきます。
応募資格：実務経験3年以上／実務経験5年以上+チームリード経験
求める経験・スキル：上流工程（要件定義）経験、Python実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：年収483万〜663万円（年俸制）　雇用形態：正社員",67-0
有限会社鈴木通信,"【ネットワークエンジニア】有限会社鈴木通信
職務内容：ネットワークエンジニアとしてご活躍いただきます。
必須要件：実務経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：SQL実務経験
給与：月給40万円（賞与なし）　雇用形態：正社員",68-4
株式会社鈴木電気,"【社内SE】株式会社鈴木電気
仕事内容：社内SEとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：Python実務経験、上流工程（要件定義）経験、SQL実務経験
給与：年収345万〜531万円（年俸制）　雇用形態：正社員",51-0
有限会社高橋銀行,"【データエンジニア】有限会社高橋銀行
仕事内容：データエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給31万〜45万円+賞与年2回（予定年収376万〜542万円）　雇用形態：正社員",95-1
山本情報株式会社,"【ヘルプデスク】山本情報株式会社
職務内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：上流工程（要件定義）経験
給与：年収730万〜949万円（年俸制）　雇用形態：正社員",134-1
合同会社山田保険,"【アプリケーションエンジニア】合同会社山田保険
職務内容：アプリケーションエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：チームでの開発経験、上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：年収331万〜563万円（年俸制）　雇用形態：正社員",116-0
合同会社斎藤銀行,"【Corporate SRE】合同会社斎藤銀行
仕事内容：Corporate SREとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験／SQL・データ抽出経験3年以上
歓迎要件：上流工程（要件定義）経験、SQL実務経験
給与：月給63万〜78万円+賞与年2回（予定年収761万〜930万円）　雇用形態：正社員",155-1
合同会社山崎情報,"【ITアーキテクト】合同会社山崎情報
仕事内容：ITアーキテクトとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験
給与：月給29万〜46万円+賞与年2回（予定年収349万〜546万円）　雇用形態：正社員",17-0
有限会社吉田運輸,"【品質管理】有限会社吉田運輸
職務内容：品質管理としてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験
歓迎要件：SQL実務経験
給与：月給42万〜59万円+賞与年2回（予定年収498万〜711万円）　雇用形態：正社員",108-0
高橋鉱業有限会社,"【バックエンドエンジニア】高橋鉱業有限会社
仕事内容：バックエンドエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
歓迎要件：AWSまたはGCP実務経験、SQL実務経験
給与：月給29万円（賞与なし）　雇用形態：正社員",56-4
高橋鉱業株式会社,"【Corporate SRE】高橋鉱業株式会社
仕事内容：Corporate SREとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：Python実務経験、AWSまたはGCP実務経験
給与：月給63万〜77万円+賞与年2回（予定年収754万〜921万円）　雇用形態：正社員",23-2
合同会社吉田水産,"【社内SE】合同会社吉田水産
職務内容：社内SEとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：SQL実務経験、Python実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：年収747万〜855万円（年俸制）　雇用形態：正社員",2-4
株式会社山田保険,"【バックエンドエンジニア】株式会社山田保険
仕事内容：バックエンドエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：Python実務経験
給与：月給28万〜44万円+賞与年2回（予定年収334万〜532万円）　雇用形態：正社員",126-0
小林鉱業合同会社,"【サーバーエンジニア】小林鉱業合同会社
仕事内容：サーバーエンジニアとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：上流工程（要件定義）経験、Python実務経験、チームでの開発経験、SQL実務経験
給与：年収751万〜874万円（年俸制）　雇用形態：正社員",25-1
有限会社岡本建設,"【情報システム】有限会社岡本建設
仕事内容：情報システムとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
歓迎要件：上流工程（要件定義）経験、チームでの開発経験
給与：月給40万〜53万円+賞与年2回（予定年収475万〜634万円）　雇用形態：正社員",13-1
有限会社渡辺ガス,"【情報システム】有限会社渡辺ガス
仕事内容：情報システムとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験
求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験、上流工程（要件定義）経験
給与：月給41万〜53万円+賞与年2回（予定年収488万〜641万円）　雇用形態：正社員",76-2
株式会社小林印刷,"【Webエンジニア】株式会社小林印刷
職務内容：Webエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
尚可条件：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験
給与：年収476万〜667万円（年俸制）　雇用形態：正社員",8-0
株式会社石川農林,"【ITアーキテクト】株式会社石川農林
職務内容：ITアーキテクトとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
求める経験・スキル：チームでの開発経験、Python実務経験
給与：月給42万〜59万円+賞与年2回（予定年収503万〜711万円）　雇用形態：正社員",39-2
高橋保険有限会社,"【データ基盤エンジニア】高橋保険有限会社
仕事内容：データ基盤エンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、Python実務経験
給与：月給31万〜46万円+賞与年2回（予定年収368万〜554万円）　雇用形態：正社員",7-0
株式会社山田食品,"【機械学習エンジニア】株式会社山田食品
仕事内容：機械学習エンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
尚可条件：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験、上流工程（要件定義）経験
給与：月給30万円（賞与なし）　雇用形態：正社員",18-0
清水食品有限会社,"【QAエンジニア】清水食品有限会社
仕事内容：QAエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：AWSまたはGCP実務経験、チームでの開発経験、上流工程（要件定義）経験
給与：月給40万円（賞与なし）　雇用形態：正社員",132-1
合同会社小林水産,"【クラウドエンジニア】合同会社小林水産
職務内容：クラウドエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：SQL実務経験、Python実務経験、上流工程（要件定義）経験
給与：年収491万〜688万円（年俸制）　雇用形態：正社員",139-1
山本電気有限会社,"【AIエンジニア】山本電気有限会社
仕事内容：AIエンジニアとしてご活躍いただきます。
応募資格：実務経験3年以上
求める経験・スキル：AWSまたはGCP実務経験
給与：月給44万〜54万円+賞与年2回（予定年収523万〜643万円）　雇用形態：正社員",140-0
株式会社橋本印刷,"【バックエンドエンジニア】株式会社橋本印刷
職務内容：バックエンドエンジニアとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：上流工程（要件定義）経験、Python実務経験、SQL実務経験
給与：月給62万円（賞与なし）　雇用形態：正社員",6-2
田中印刷有限会社,"【ネットワークエンジニア】田中印刷有限会社
仕事内容：ネットワークエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
歓迎要件：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験、Python実務経験
給与：年収357万〜463万円（年俸制）　雇用形態：正社員",147-2
山本電気有限会社,"【AIエンジニア】山本電気有限会社
職務内容：AIエンジニアとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：AWSまたはGCP実務経験
給与：年収523万〜643万円（年俸制）　雇用形態：正社員",140-3
株式会社林運輸,"【テクニカルサポート】株式会社林運輸
仕事内容：テクニカルサポートとしてご活躍いただきます。
応募資格：実務経験3年以上／実務経験5年以上+チームリード経験
尚可条件：SQL実務経験、AWSまたはGCP実務経験
給与：月給40万〜55万円+賞与年2回（予定年収483万〜663万円）　雇用形態：正社員",67-2
株式会社伊藤ガス,"【ITコンサルタント】株式会社伊藤ガス
職務内容：ITコンサルタントとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：AWSまたはGCP実務経験
給与：月給44万円（賞与なし）　雇用形態：正社員",120-2
合同会社田中運輸,"【ソリューションアーキテクト】合同会社田中運輸
仕事内容：ソリューションアーキテクトとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：チームでの開発経験、SQL実務経験
給与：月給61万〜81万円+賞与年2回（予定年収732万〜971万円）　雇用形態：正社員",4-1
合同会社斉藤保険,"【データサイエンティスト】合同会社斉藤保険
仕事内容：データサイエンティストとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：上流工程（要件定義）経験、Python実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：年収338万〜549万円（年俸制）　雇用形態：正社員",30-1
合同会社山本運輸,"【ネットワークエンジニア】合同会社山本運輸
職務内容：ネットワークエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験
給与：年収354万〜589万円（年俸制）　雇用形態：正社員",34-3
有限会社佐藤銀行,"【データサイエンティスト】有限会社佐藤銀行
職務内容：データサイエンティストとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎／SQL・データ抽出経験3年以上
歓迎要件：AWSまたはGCP実務経験、Python実務経験
給与：月給31万〜45万円+賞与年2回（予定年収369万〜540万円）　雇用形態：正社員",93-4
合同会社林通信,"【品質管理】合同会社林通信
仕事内容：品質管理としてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：上流工程（要件定義）経験、チームでの開発経験
給与：月給27万〜45万円+賞与年2回（予定年収320万〜537万円）　雇用形態：正社員",69-1
株式会社太田建設,"【ソリューションアーキテクト】株式会社太田建設
職務内容：ソリューションアーキテクトとしてご活躍いただきます。
必須要件：実務経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：チームでの開発経験、SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：年収504万〜713万円（年俸制）　雇用形態：正社員",151-0
有限会社渡辺ガス,"【情報システム】有限会社渡辺ガス
仕事内容：情報システムとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
歓迎要件：AWSまたはGCP実務経験、Python実務経験
給与：月給41万円（賞与なし）　雇用形態：正社員",76-1
伊藤ガス有限会社,"【AIエンジニア】伊藤ガス有限会社
職務内容：AIエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
尚可条件：チームでの開発経験
給与：月給42万円（賞与なし）　雇用形態：正社員",50-0
鈴木水産株式会社,"【Webエンジニア】鈴木水産株式会社
職務内容：Webエンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上／SQL・データ抽出経験3年以上
求める経験・スキル：AWSまたはGCP実務経験、上流工程（要件定義）経験、Python実務経験
給与：月給30万円（賞与なし）　雇用形態：正社員",26-2
有限会社松本通信,"【テクニカルサポート】有限会社松本通信
仕事内容：テクニカルサポートとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験
求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、SQL実務経験、チームでの開発経験
給与：月給43万〜59万円+賞与年2回（予定年収512万〜707万円）　雇用形態：正社員",41-0
山本情報株式会社,"【ヘルプデスク】山本情報株式会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：上流工程（要件定義）経験、チームでの開発経験
給与：月給61万〜79万円+賞与年2回（予定年収730万〜949万円）　雇用形態：正社員",134-0
