position_name,employer,comp_text,duties_text,must_have_text,nice_to_have_text,emp_type,posting_ref
フロントエンドエンジニア,株式会社橋本食品,月給40万円（賞与なし）,仕事内容：フロントエンドエンジニアに関する業務全般。,応募資格：実務経験3年以上,歓迎要件：上流工程（要件定義）経験,正社員,158-1
情報システム,清水運輸株式会社,月給62万〜74万円+賞与年2回（予定年収750万〜893万円）,職務内容：情報システムに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,尚可条件：Python実務経験、SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,109-0
セキュリティエンジニア,合同会社鈴木情報,月給61万〜72万円+賞与年2回（予定年収735万〜866万円）,職務内容：セキュリティエンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,歓迎要件：チームでの開発経験、SQL実務経験,正社員,117-0
クラウドエンジニア,有限会社高橋食品,月給28万円（賞与なし）,仕事内容：クラウドエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：SQL実務経験、Python実務経験、上流工程（要件定義）経験,正社員,88-3
バックエンドエンジニア,石川ガス株式会社,月給31万円（賞与なし）,職務内容：バックエンドエンジニアに関する業務全般。,必須要件：実務経験1年以上,尚可条件：SQL実務経験、チームでの開発経験、Python実務経験、上流工程（要件定義）経験,正社員,143-1
情報システム,森情報合同会社,年収733万〜849万円（年俸制）,仕事内容：情報システムに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：上流工程（要件定義）経験、Python実務経験,正社員,127-0
セキュリティエンジニア,有限会社伊藤電気,月給63万〜72万円+賞与年2回（予定年収754万〜867万円）,職務内容：セキュリティエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：Python実務経験、チームでの開発経験,正社員,141-0
AIエンジニア,山本電気有限会社,月給44万〜54万円+賞与年2回（予定年収523万〜643万円）,仕事内容：AIエンジニアに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,尚可条件：チームでの開発経験、Python実務経験、AWSまたはGCP実務経験,正社員,140-2
社内SE,橋本運輸合同会社,月給63万円（賞与なし）,職務内容：社内SEに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：AWSまたはGCP実務経験,正社員,16-2
社内SE,株式会社山崎鉱業,年収780万〜935万円（年俸制）,仕事内容：社内SEに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：Python実務経験、上流工程（要件定義）経験、SQL実務経験,正社員,145-1
QAエンジニア,伊藤鉱業合同会社,月給27万〜45万円+賞与年2回（予定年収326万〜536万円）,仕事内容：QAエンジニアに関する業務全般。,必須要件：実務経験1年以上,尚可条件：SQL実務経験、Python実務経験,正社員,49-1
機械学習エンジニア,後藤電気合同会社,月給43万円（賞与なし）,仕事内容：機械学習エンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：SQL実務経験、チームでの開発経験、Python実務経験,正社員,94-1
クラウドエンジニア,株式会社西村建設,月給29万円（賞与なし）,職務内容：クラウドエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験,正社員,58-2
テクニカルサポート,太田建設株式会社,年収524万〜686万円（年俸制）,職務内容：テクニカルサポートに関する業務全般。,必須要件：実務経験3年以上,尚可条件：上流工程（要件定義）経験、SQL実務経験、Python実務経験,正社員,157-2
業務系SE,村上通信有限会社,月給44万〜60万円+賞与年2回（予定年収523万〜715万円）,職務内容：業務系SEに関する業務全般。,必須要件：実務経験3年以上,尚可条件：AWSまたはGCP実務経験、Python実務経験、チームでの開発経験,正社員,11-0
インフラエンジニア,株式会社村上電気,月給41万円（賞与なし）,仕事内容：インフラエンジニアに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：Python実務経験、チームでの開発経験,正社員,138-2
バックエンドエンジニア,伊藤電気株式会社,月給41万円（賞与なし）,仕事内容：バックエンドエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：チームでの開発経験、SQL実務経験,正社員,72-4
セキュリティエンジニア,株式会社後藤建設,月給62万〜75万円+賞与年2回（予定年収738万〜898万円）,職務内容：セキュリティエンジニアに関する業務全般。,応募資格：実務経験5年以上+チームリード経験／SQL・データ抽出経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験,正社員,124-2
テクニカルサポート,有限会社松本通信,月給43万〜59万円+賞与年2回（予定年収512万〜707万円）,仕事内容：テクニカルサポートに関する業務全般。,応募資格：実務経験3年以上,尚可条件：Python実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験,正社員,41-2
インフラエンジニア,有限会社渡辺保険,月給64万〜84万円+賞与年2回（予定年収767万〜1005万円）,職務内容：インフラエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：SQL実務経験、チームでの開発経験,正社員,61-0
業務系SE,村上通信有限会社,年収523万〜715万円（年俸制）,職務内容：業務系SEに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,求める経験・スキル：SQL実務経験,正社員,11-3
ソリューションアーキテクト,斉藤建設有限会社,月給60万円（賞与なし）,職務内容：ソリューションアーキテクトに関する業務全般。,応募資格：実務経験5年以上+チームリード経験／実務経験3年以上,求める経験・スキル：SQL実務経験、Python実務経験、AWSまたはGCP実務経験,正社員,neg-7-0
テストエンジニア,田中ガス有限会社,月給28万円（賞与なし）,仕事内容：テストエンジニアに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,22-1
フロントエンドエンジニア,株式会社橋本食品,月給40万〜59万円+賞与年2回（予定年収485万〜703万円）,仕事内容：フロントエンドエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：上流工程（要件定義）経験,正社員,158-2
セキュリティエンジニア,佐藤通信有限会社,月給61万円（賞与なし）,仕事内容：セキュリティエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,65-0
バックエンドエンジニア,株式会社橋本印刷,年収747万〜934万円（年俸制）,仕事内容：バックエンドエンジニアに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験,正社員,6-0
QAエンジニア,青木保険株式会社,月給40万円（賞与なし）,仕事内容：QAエンジニアに関する業務全般。,必須要件：実務経験3年以上,求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験,正社員,89-1
QAエンジニア,合同会社佐藤印刷,月給31万円（賞与なし）,職務内容：QAエンジニアに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：SQL実務経験,正社員,87-2
ITコンサルタント,伊藤建設株式会社,年収530万〜743万円（年俸制）,仕事内容：ITコンサルタントに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：チームでの開発経験、Python実務経験,正社員,119-0
品質管理,有限会社佐々木建設,月給43万円（賞与なし）,仕事内容：品質管理に関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,59-2
データ基盤エンジニア,佐藤印刷合同会社,月給60万円（賞与なし）,職務内容：データ基盤エンジニアに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：上流工程（要件定義）経験、チームでの開発経験,正社員,142-3
フロントエンドエンジニア,渡辺銀行合同会社,年収323万〜572万円（年俸制）,仕事内容：フロントエンドエンジニアに関する業務全般。,応募資格：実務経験1年以上,尚可条件：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験、SQL実務経験,正社員,62-1
SRE,福田建設合同会社,月給40万円（賞与なし）,職務内容：SREに関する業務全般。,必須要件：実務経験3年以上,尚可条件：SQL実務経験、チームでの開発経験,正社員,71-2
情報システム,有限会社岡本建設,月給40万〜53万円+賞与年2回（予定年収475万〜634万円）,職務内容：情報システムに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、チームでの開発経験、上流工程（要件定義）経験、Python実務経験,正社員,13-3
機械学習エンジニア,株式会社山田食品,月給30万円（賞与なし）,仕事内容：機械学習エンジニアに関する業務全般。,応募資格：実務経験1年以上,求める経験・スキル：Python実務経験、チームでの開発経験、SQL実務経験,正社員,18-1
テストエンジニア,藤原情報合同会社,月給28万円（賞与なし）,仕事内容：テストエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎／実務経験3年以上,歓迎要件：SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,42-2
ヘルプデスク,青木鉱業有限会社,年収332万〜507万円（年俸制）,職務内容：ヘルプデスクに関する業務全般。,応募資格：実務経験1年以上,尚可条件：Python実務経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,60-2
テクニカルサポート,太田建設株式会社,月給44万〜57万円+賞与年2回（予定年収524万〜686万円）,職務内容：テクニカルサポートに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：SQL実務経験、Python実務経験,正社員,157-3
データサイエンティスト,有限会社佐藤銀行,月給31万円（賞与なし）,職務内容：データサイエンティストに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：上流工程（要件定義）経験,正社員,93-2
ITアーキテクト,株式会社石川農林,月給42万円（賞与なし）,仕事内容：ITアーキテクトに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：上流工程（要件定義）経験、SQL実務経験、AWSまたはGCP実務経験,正社員,39-3
QAエンジニア,株式会社加藤印刷,年収348万〜588万円（年俸制）,仕事内容：QAエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：SQL実務経験、AWSまたはGCP実務経験,正社員,54-0
セキュリティエンジニア,株式会社後藤建設,月給62万〜75万円+賞与年2回（予定年収738万〜898万円）,職務内容：セキュリティエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：AWSまたはGCP実務経験、チームでの開発経験,正社員,124-0
テストエンジニア,合同会社渡辺食品,月給29万円（賞与なし）,職務内容：テストエンジニアに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：Python実務経験、チームでの開発経験,正社員,133-0
ネットワークエンジニア,合同会社山本運輸,月給30万円（賞与なし）,仕事内容：ネットワークエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：Python実務経験、SQL実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,34-1
バックエンドエンジニア,高橋鉱業有限会社,年収346万〜570万円（年俸制）,仕事内容：バックエンドエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：AWSまたはGCP実務経験、チームでの開発経験,正社員,56-2
データエンジニア,合同会社吉田銀行,月給40万〜54万円+賞与年2回（予定年収483万〜646万円）,仕事内容：データエンジニアに関する業務全般。,必須要件：実務経験3年以上,尚可条件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験,正社員,85-4
セキュリティエンジニア,合同会社吉田情報,年収488万〜641万円（年俸制）,職務内容：セキュリティエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：チームでの開発経験、上流工程（要件定義）経験,正社員,107-0
SRE,株式会社伊藤印刷,年収320万〜438万円（年俸制）,職務内容：SREに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,44-2
QAエンジニア,山田ガス合同会社,年収361万〜462万円（年俸制）,仕事内容：QAエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：SQL実務経験、上流工程（要件定義）経験,正社員,115-1
品質管理,田中食品有限会社,月給40万〜51万円+賞与年2回（予定年収480万〜609万円）,職務内容：品質管理に関する業務全般。,応募資格：実務経験3年以上,歓迎要件：Python実務経験、SQL実務経験,正社員,146-1
Corporate SRE,有限会社山本電気,月給62万〜81万円+賞与年2回（予定年収744万〜970万円）,職務内容：Corporate SREに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,114-1
サーバーエンジニア,吉田情報株式会社,月給43万円（賞与なし）,仕事内容：サーバーエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験,正社員,105-1
QAエンジニア,高橋食品株式会社,月給29万〜39万円+賞与年2回（予定年収352万〜472万円）,職務内容：QAエンジニアに関する業務全般。,必須要件：実務経験1年以上,尚可条件：上流工程（要件定義）経験、Python実務経験,正社員,63-1
データサイエンティスト,有限会社佐藤銀行,月給31万円（賞与なし）,職務内容：データサイエンティストに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,93-3
社内SE,株式会社中島建設,月給31万円（賞与なし）,仕事内容：社内SEに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：チームでの開発経験、SQL実務経験,正社員,0-2
業務系SE,伊藤建設合同会社,月給27万円（賞与なし）,職務内容：業務系SEに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：Python実務経験,正社員,38-0
QAエンジニア,高橋食品株式会社,月給29万〜39万円+賞与年2回（予定年収352万〜472万円）,職務内容：QAエンジニアに関する業務全般。,必須要件：実務経験1年以上,尚可条件：チームでの開発経験,正社員,63-2
システムアーキテクト,福田農林有限会社,月給64万〜75万円+賞与年2回（予定年収774万〜905万円）,仕事内容：システムアーキテクトに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：SQL実務経験,正社員,102-1
AIエンジニア,橋本保険有限会社,月給61万〜78万円+賞与年2回（予定年収729万〜940万円）,仕事内容：AIエンジニアに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：SQL実務経験、上流工程（要件定義）経験,正社員,154-0
インフラエンジニア,株式会社遠藤保険,月給61万円（賞与なし）,仕事内容：インフラエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：上流工程（要件定義）経験、チームでの開発経験、SQL実務経験、Python実務経験,正社員,92-1
サーバーエンジニア,株式会社吉田電気,月給27万円（賞与なし）,職務内容：サーバーエンジニアに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：SQL実務経験、チームでの開発経験、Python実務経験,正社員,112-3
データ基盤エンジニア,高橋保険有限会社,月給31万円（賞与なし）,仕事内容：データ基盤エンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：チームでの開発経験,正社員,7-2
社内SE,株式会社山崎鉱業,月給65万〜78万円+賞与年2回（予定年収780万〜935万円）,仕事内容：社内SEに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験、Python実務経験,正社員,145-3
ITコンサルタント,株式会社伊藤ガス,年収523万〜763万円（年俸制）,仕事内容：ITコンサルタントに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,尚可条件：Python実務経験、AWSまたはGCP実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,120-3
品質管理,有限会社佐々木建設,年収514万〜756万円（年俸制）,職務内容：品質管理に関する業務全般。,必須要件：SQL・データ抽出経験3年以上,尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,59-3
データエンジニア,株式会社鈴木運輸,月給61万〜76万円+賞与年2回（予定年収735万〜906万円）,仕事内容：データエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：Python実務経験、SQL実務経験、チームでの開発経験,正社員,46-3
QAエンジニア,伊藤農林有限会社,月給44万円（賞与なし）,仕事内容：QAエンジニアに関する業務全般。,応募資格：実務経験3年以上,歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験、Python実務経験,正社員,57-1
業務系SE,株式会社小林鉱業,月給42万〜50万円+賞与年2回（予定年収501万〜605万円）,職務内容：業務系SEに関する業務全般。,必須要件：実務経験3年以上,求める経験・スキル：チームでの開発経験、上流工程（要件定義）経験、SQL実務経験、Python実務経験,正社員,35-0
ITアーキテクト,有限会社林運輸,年収328万〜549万円（年俸制）,職務内容：ITアーキテクトに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：SQL実務経験、Python実務経験、上流工程（要件定義）経験、チームでの開発経験,正社員,144-0
テクニカルサポート,合同会社藤原食品,月給62万円（賞与なし）,職務内容：テクニカルサポートに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：Python実務経験、AWSまたはGCP実務経験,正社員,103-1
ITアーキテクト,有限会社林運輸,月給27万円（賞与なし）,仕事内容：ITアーキテクトに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：Python実務経験、チームでの開発経験,正社員,144-2
ヘルプデスク,中村ガス有限会社,年収375万〜593万円（年俸制）,職務内容：ヘルプデスクに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,137-0
インフラエンジニア,株式会社村上電気,月給41万〜56万円+賞与年2回（予定年収494万〜677万円）,職務内容：インフラエンジニアに関する業務全般。,必須要件：実務経験3年以上／実務経験5年以上+チームリード経験,歓迎要件：Python実務経験、チームでの開発経験,正社員,138-0
インフラエンジニア,合同会社石川水産,年収724万〜884万円（年俸制）,仕事内容：インフラエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：SQL実務経験、AWSまたはGCP実務経験,正社員,64-2
バックエンドエンジニア,吉田ガス合同会社,月給28万円（賞与なし）,職務内容：バックエンドエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：Python実務経験、上流工程（要件定義）経験,正社員,52-1
テクニカルサポート,有限会社松本通信,月給43万円（賞与なし）,職務内容：テクニカルサポートに関する業務全般。,応募資格：実務経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、チームでの開発経験、SQL実務経験、上流工程（要件定義）経験,正社員,41-3
社内SE,合同会社井上通信,年収324万〜432万円（年俸制）,職務内容：社内SEに関する業務全般。,応募資格：実務経験1年以上／実務経験3年以上,歓迎要件：SQL実務経験、Python実務経験、上流工程（要件定義）経験、チームでの開発経験,正社員,45-2
フロントエンドエンジニア,有限会社伊藤農林,月給63万円（賞与なし）,職務内容：フロントエンドエンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：SQL実務経験、Python実務経験,正社員,150-2
アプリケーションエンジニア,株式会社渡辺農林,年収472万〜572万円（年俸制）,仕事内容：アプリケーションエンジニアに関する業務全般。,応募資格：実務経験3年以上,尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,79-1
プリセールス,合同会社長谷川食品,月給44万円（賞与なし）,職務内容：プリセールスに関する業務全般。,応募資格：実務経験3年以上,歓迎要件：Python実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験,正社員,78-4
ITアーキテクト,合同会社鈴木運輸,月給60万円（賞与なし）,仕事内容：ITアーキテクトに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上,尚可条件：SQL実務経験,正社員,12-1
